,year,month,count
0,2000,1,106
1,2000,2,92
2,2000,3,75
3,2000,4,49
4,2000,5,46
5,2000,6,44
6,2000,7,44
7,2000,8,30
8,2000,9,29
9,2000,10,63
10,2000,11,123
11,2000,12,163
12,2001,1,62
13,2001,2,83
14,2001,3,82
15,2001,4,51
16,2001,5,50
17,2001,6,42
18,2001,7,42
19,2001,8,40
20,2001,9,53
21,2001,10,89
22,2001,11,145
23,2001,12,204
24,2002,1,94
25,2002,2,102
26,2002,3,94
27,2002,4,69
28,2002,5,92
29,2002,6,76
30,2002,7,118
31,2002,8,96
32,2002,9,104
33,2002,10,121
34,2002,11,208
35,2002,12,233
36,2003,1,150
37,2003,2,161
38,2003,3,173
39,2003,4,120
40,2003,5,124
41,2003,6,156
42,2003,7,155
43,2003,8,307
44,2003,9,109
45,2003,10,230
46,2003,11,223
47,2003,12,418
48,2004,1,182
49,2004,2,119
50,2004,3,190
51,2004,4,77
52,2004,5,54
53,2004,6,76
54,2004,7,45
55,2004,8,40
56,2004,9,106
57,2004,10,114
58,2004,11,166
59,2004,12,390
60,2005,1,174
61,2005,2,167
62,2005,3,225
63,2005,4,156
64,2005,5,127
65,2005,6,130
66,2005,7,97
67,2005,8,91
68,2005,9,130
69,2005,10,134
70,2005,11,249
71,2005,12,306
72,2006,1,155
73,2006,2,151
74,2006,3,135
75,2006,4,85
76,2006,5,125
77,2006,6,149
78,2006,7,101
79,2006,8,83
80,2006,9,108
81,2006,10,128
82,2006,11,199
83,2006,12,243
84,2007,1,149
85,2007,2,128
86,2007,3,147
87,2007,4,65
88,2007,5,88
89,2007,6,67
90,2007,7,45
91,2007,8,33
92,2007,9,83
93,2007,10,84
94,2007,11,173
95,2007,12,255
96,2008,1,105
97,2008,2,114
98,2008,3,85
99,2008,4,75
100,2008,5,73
101,2008,6,95
102,2008,7,57
103,2008,8,41
104,2008,9,76
105,2008,10,94
106,2008,11,144
107,2008,12,234
108,2009,1,131
109,2009,2,115
110,2009,3,123
111,2009,4,93
112,2009,5,110
113,2009,6,72
114,2009,7,82
115,2009,8,73
116,2009,9,120
117,2009,10,183
118,2009,11,219
119,2009,12,448
120,2010,1,285
121,2010,2,308
122,2010,3,321
123,2010,4,201
124,2010,5,256
125,2010,6,172
126,2010,7,162
127,2010,8,123
128,2010,9,174
129,2010,10,208
130,2010,11,482
131,2010,12,615
132,2011,1,287
133,2011,2,345
134,2011,3,296
135,2011,4,230
136,2011,5,181
137,2011,6,174
138,2011,7,151
139,2011,8,90
140,2011,9,137
141,2011,10,221
142,2011,11,284
143,2011,12,541
144,2012,1,220
145,2012,2,264
146,2012,3,293
147,2012,4,182
148,2012,5,155
149,2012,6,221
150,2012,7,135
151,2012,8,98
152,2012,9,195
153,2012,10,240
154,2012,11,380
155,2012,12,518
156,2013,1,302
157,2013,2,268
158,2013,3,296
159,2013,4,226
160,2013,5,200
161,2013,6,165
162,2013,7,130
163,2013,8,144
164,2013,9,146
165,2013,10,212
166,2013,11,400
167,2013,12,476
168,2014,1,203
169,2014,2,296
170,2014,3,198
171,2014,4,206
172,2014,5,262
173,2014,6,125
174,2014,7,101
175,2014,8,111
176,2014,9,204
177,2014,10,216
178,2014,11,426
179,2014,12,640
180,2015,1,264
181,2015,2,280
182,2015,3,353
183,2015,4,199
184,2015,5,216
185,2015,6,190
186,2015,7,166
187,2015,8,89
188,2015,9,157
189,2015,10,251
190,2015,11,400
191,2015,12,632
192,2016,1,285
193,2016,2,393
194,2016,3,321
195,2016,4,216
196,2016,5,181
197,2016,6,204
198,2016,7,186
199,2016,8,107
200,2016,9,192
201,2016,10,240
202,2016,11,352
203,2016,12,603
204,2017,1,263
205,2017,2,353
206,2017,3,285
207,2017,4,154
208,2017,5,196
209,2017,6,166
210,2017,7,85
211,2017,8,91
212,2017,9,163
213,2017,10,224
214,2017,11,279
215,2017,12,620
216,2018,1,254
217,2018,2,222
218,2018,3,219
219,2018,4,220
220,2018,5,115
221,2018,6,137
222,2018,7,86
223,2018,8,102
224,2018,9,145
225,2018,10,130
226,2018,11,311
227,2018,12,524
228,2019,1,216
229,2019,2,233
230,2019,3,221
231,2019,4,129
232,2019,5,162
233,2019,6,93
234,2019,7,111
235,2019,8,81
236,2019,9,106
237,2019,10,161
238,2019,11,299
239,2019,12,508
240,2020,1,225
241,2020,2,279
242,2020,3,182
243,2020,4,221
244,2020,5,276
245,2020,6,301
246,2020,7,210
247,2020,8,103
248,2020,9,149
249,2020,10,177
250,2020,11,279
251,2020,12,505
